symbol,entry_time,exit_time,entry_price,exit_price,shares,pnl,pnl_pct,exit_reason,strategy,risk_pct,sl_pct,tp_pct,timeframe,hold_time_minutes
PLUG,2024-02-29 15:03:00+00:00,2024-02-29 15:12:00+00:00,3.83,3.7534,1306,-100.03960000000001,-2.0000000000000018,stop_loss,GapAndGo,5.0,2.0,2.5,1m,9.0
PLUG,2024-03-01 15:21:00+00:00,2024-03-01 15:35:00+00:00,3.42,3.5054999999999996,1461,124.91549999999954,2.499999999999991,take_profit,GapAndGo,5.0,2.0,2.5,1m,14.0
PLUG,2024-05-03 14:35:00+00:00,2024-05-03 15:04:00+00:00,2.725,2.6705,1836,-100.06199999999998,-2.0000000000000018,stop_loss,GapAndGo,5.0,2.0,2.5,1m,29.0
PLUG,2024-05-09 14:09:00+00:00,2024-05-09 14:18:00+00:00,2.665,2.6117,1875,-99.93750000000023,-2.0000000000000018,stop_loss,GapAndGo,5.0,2.0,2.5,1m,9.0
PLUG,2024-05-14 14:30:00+00:00,2024-05-14 14:31:00+00:00,3.975,3.8955,1256,-99.85199999999988,-2.0000000000000018,stop_loss,GapAndGo,5.0,2.0,2.5,1m,1.0
PLUG,2024-06-28 14:31:00+00:00,2024-06-28 14:57:00+00:00,2.44,2.3912,2044,-99.7471999999999,-2.0000000000000018,stop_loss,GapAndGo,5.0,2.0,2.5,1m,26.0
PLUG,2024-07-17 14:33:00+00:00,2024-07-17 15:04:00+00:00,3.215,3.1506999999999996,1550,-99.66500000000038,-2.000000000000013,stop_loss,GapAndGo,5.0,2.0,2.5,1m,31.0
PLUG,2024-07-19 14:31:00+00:00,2024-07-19 14:55:00+00:00,2.445,2.5061249999999995,2036,124.4504999999993,2.499999999999991,take_profit,GapAndGo,5.0,2.0,2.5,1m,24.0
PLUG,2024-08-05 13:47:00+00:00,2024-08-05 14:22:00+00:00,2.06,2.1115,2419,124.5784999999997,2.499999999999991,take_profit,GapAndGo,5.0,2.0,2.5,1m,35.0
PLUG,2024-08-08 13:36:00+00:00,2024-08-08 13:43:00+00:00,2.085,2.0433,2393,-99.78810000000017,-2.0000000000000018,stop_loss,GapAndGo,5.0,2.0,2.5,1m,7.0
PLUG,2024-08-09 14:33:00+00:00,2024-08-13 13:42:00+00:00,1.96,2.009,2543,124.60699999999983,2.499999999999991,take_profit,GapAndGo,5.0,2.0,2.5,1m,5709.0
PLUG,2024-09-05 14:36:00+00:00,2024-09-05 19:21:00+00:00,1.745,1.7101000000000002,2860,-99.81399999999981,-1.9999999999999907,stop_loss,GapAndGo,5.0,2.0,2.5,1m,285.0
PLUG,2024-09-11 14:32:00+00:00,2024-09-11 14:42:00+00:00,1.88,1.8423999999999998,2652,-99.71520000000021,-2.0000000000000018,stop_loss,GapAndGo,5.0,2.0,2.5,1m,10.0
PLUG,2024-09-20 14:35:00+00:00,2024-09-20 15:10:00+00:00,1.945,1.9061000000000001,2561,-99.62289999999983,-2.0000000000000018,stop_loss,GapAndGo,5.0,2.0,2.5,1m,35.0
PLUG,2024-09-25 14:32:00+00:00,2024-09-25 17:00:00+00:00,2.025,1.9845,2457,-99.50849999999996,-2.0000000000000018,stop_loss,GapAndGo,5.0,2.0,2.5,1m,148.0
PLUG,2024-09-30 14:36:00+00:00,2024-09-30 14:59:00+00:00,2.26,2.2148,2200,-99.4399999999998,-1.9999999999999907,stop_loss,GapAndGo,5.0,2.0,2.5,1m,23.0
PLUG,2024-10-17 14:35:00+00:00,2024-10-18 13:47:00+00:00,2.035,2.085875,2441,124.18587500000001,2.499999999999991,take_profit,GapAndGo,5.0,2.0,2.5,1m,1392.0
PLUG,2024-10-22 14:35:00+00:00,2024-10-22 17:09:00+00:00,2.285,2.342125,2176,124.30399999999923,2.499999999999991,take_profit,GapAndGo,5.0,2.0,2.5,1m,154.0
